k,Pk,sigma_Pk
0.01,81095.00066913421,8109.5000669134215
0.010629935081760276,83273.44639795416,8327.344639795416
0.011299551984243776,71588.32643091027,7158.832643091027
0.012011350404548685,46126.74648202377,4612.674648202377
0.012767987504462746,23224.449338308154,2322.4449338308154
0.013572287829716537,23287.82531061004,2328.7825310610037
0.014427253854085184,42053.02680264633,4205.302680264634
0.015336077187700116,50309.84048572095,5030.984048572096
0.01630215049141169,33831.7702683256,3383.17702683256
0.017329080141679255,14171.409866486045,1417.1409866486047
0.018420699693267165,15789.767053832751,1578.9767053832752
0.019581084190003126,26789.443467711248,2678.944346771125
0.02081456537702157,23024.146618597173,2302.4146618597174
0.022125747871279425,14648.564057208978,1464.8564057208978
0.02351952635070959,14660.130704613666,1466.0130704613666
0.025001103826179306,13838.999681508662,1383.8999681508662
0.02657601106446343,11217.899891175219,1121.7899891175218
0.028250127234738905,10250.252611417794,1025.0252611417795
0.030029701855674232,9548.398012865062,954.8398012865063
0.031921378125043316,8848.139473733554,884.8139473733554
0.0339322177189533,8102.985370270994,810.2985370270994
0.036069727153262905,7203.551466743192,720.3551466743193
0.03834188580559904,6250.778943578537,625.0778943578538
0.04075717570257835,5389.853842445505,538.9853842445505
0.04332461318343051,4728.541582387473,472.8541582387473
0.04605378255822417,4279.500113133816,427.9500113133816
0.04895487188634263,3968.422935510874,396.84229355108744
0.052038711008771305,3688.7706667750294,368.87706667750297
0.05531681197617227,3363.8278717862763,336.38278717862767
0.05880141202366505,2980.384273158657,298.0384273158657
0.06250551925273976,2581.0436294290444,258.10436294290446
0.06644296119083404,2227.537995728664,222.75379957286643
0.07062843640984828,1960.9674529556369,196.0967452955637
0.0750775693962921,1781.4658569768742,178.14658569768744
0.0798069688778937,1654.6453248111202,165.46453248111203
0.08483428982440722,1535.9614537506166,153.59614537506167
0.0901782993540685,1396.0134364105782,139.6013436410578
0.09585894679172921,1232.632957173544,123.2632957173544
0.10189743814019939,1065.692515513121,106.5692515513121
0.1083163152428003,920.8942600232851,92.08942600232852
0.11513953993264475,813.6399719750755,81.36399719750756
0.12239258348277585,741.8477879081942,74.18477879081942
0.13010252169108316,689.9002974497541,68.99002974497542
0.1382981359549522,639.3422807511218,63.93422807511219
0.14701002071295977,579.0915638192906,57.909156381929066
0.15627069765469956,509.6242061165796,50.96242061165796
0.1661147371250844,440.0109039531766,44.00109039531766
0.17657888717633197,380.84446532849466,38.08444653284947
0.18770221074938806,337.763605267492,33.7763605267492
0.19952623149688797,309.02117398910843,30.902117398910846
